Grammar,Swedish,English,Type,Examples
en,fråga,question,noun-en,
,oss,u.s,pronoun,
att,tro,believe,verb,
,el,el,noun-en,
att,tycka,think,verb,"e.g. tycka om, tycka synd om"
en,kommentar,comment,noun-en,
att,veta,know,verb,
,idag,today,adverb,
att,försöka,try,verb,
att,behöva,need,verb,
,samma,same,pronoun,
,mellan,between,prep,
att,känna,feel,verb,e.g. känna igen
att,läsa,read,verb,e.g. läsa igenom
att,ro,ro,verb,
,kanske,perhaps,adverb,
,lik,like,adjective,
att,låta,sound,verb,
,olik,different,adjective,
,sådan,such,pronoun,
ett,sätt,way,noun-ett,
,hans,his,pronoun,
,din,your,pronoun,
en,gång,walk,noun-en,e.g. på en gång
att,stå,stand,verb,
,inom,within,prep,
att,visa,show,verb,e.g. visa sig
att,använda,use,verb,"e.g. använda ngt, använda sig av"
att,vända,turn,verb,e.g. vända sig
att,hålla,keep,verb,e.g. hålla ut
,genom,through,prep,
,helt,completely,adverb,e.g. helt och hållet
,fler,more,adjective,
,utan,without,prep,
,väl,well,adverb,
ett,barn,children,noun-ett,
,enligt,according to,prep,
att,tänka,think,verb,e.g. tänka igenom
,ni,you,pronoun,
,viktig,important,adjective,
en,ring,ring,noun-en,
,eftersom,since,subj,
ett,liv,life,noun-ett,
,deras,their,pronoun,
en,värld,world,noun-en,
,viss,certain,adjective,
,dock,though,adverb,
,egen,own,adjective,
ett,folk,people,noun-ett,
en,regering,government,noun-en,
,fram,front,particle,
,honom,him,pronoun,
att,söka,search,verb,
,dig,you,pronoun,
,utan,without,conj,
en,sak,thing,noun-en,
,hög,high,adjective,
,länge,long,adverb,
en,person,person,noun-en,
att,ligga,lie,verb,
en,son,son,noun-en,
,både,both,conj,e.g. både…och
,just,just,adverb,
att,lägga,lay,verb,"e.g. lägga fram/in/på/till/ut, lägga sig"
ett,antal,quantity,noun-ett,
,redan,already,adverb,
en,kvinna,woman,noun-en,
ett,problem,problem,noun-ett,
ett,fall,case,noun-ett,
en,man,man,noun-en,
,aldrig,never,adverb,
,ofta,often,adverb,
,varje,each,det,
en,artikel,article,noun-en,
att,anse,consider,verb,
att,öva,practice,verb,
ett,lag,law,noun-ett,
ett,slag,kind,noun-ett,
ett,tal,speech,noun-ett,
,åt,at,prep,
,nog,probably,adverb,
en,bok,book,noun-en,
,varför,why,adverb,
att,handla,act,verb,
,gammal,old,adjective,
en,bild,picture,noun-en,
en,sida,page,noun-en,
,så,so,subj,
att,öka,increase,verb,
,därför,because,adverb,
,sen,late,adjective,
,god,good,adjective,
,hos,at,prep,
,alltid,always,adverb,
att,skapa,create,verb,
ett,arbete,work,noun-ett,
att,kapa,cut,verb,
,samt,and,conj,
en,blogg,blog,noun-en,
,innan,before,subj,
,som,as,adverb,
,ur,from,prep,
att,gälla,valid,verb,
att,verka,act,verb,
att,tala,speak,verb,e.g. tala om 
att,bära,wear,verb,
,för,for,adverb,
en,väg,way,noun-en,
ett,samhälle,society,noun-ett,
,alltså,in other words,adverb,
en,stat,state,noun-en,
en,stad,city,noun-en,e.g. i stan
att,höra,hear,verb,
att,innebära,means,verb,
,genom,through,subj,
ett,företag,business,noun-ett,
en,möjlighet,ability,noun-en,
ett,ord,words,noun-ett,
,politisk,political,adjective,
att,välja,select,verb,
,er,your,pronoun,
att,förstå,understand,verb,
ett,inlägg,posts,noun-ett,
ett,ägg,egg,noun-ett,
,te,tea,noun-ett,
att,spela,play,verb,e.g. spela in/upp
,så,so,subj,
,lika,equal,adverb,
att,hitta,find,verb,e.g. hitta på
ett,tag,while,noun-ett,e.g. gripa tag i
att,dra,drag,verb,"e.g. dra av/in/ner/ut, dra nytta"
att,leda,lead,verb,
,gärna,gladly,adverb,
,ändå,still,adverb,
ett,förslag,suggestions,noun-ett,
att,lyckas,succeed,verb,
,dessutom,also,adverb,
ett,område,area,noun-ett,
en,lag,law,noun-en,
,svår,difficult,adjective,
att,lära,teach,verb,
att,sätta,put,verb,e.g. sätta in/på
en,plats,place,noun-en,
,lång,long,adjective,
att,lämna,leave,verb,e.g. lämna in/tillbaka/över
att,bygga,build,verb,
,politik,policy,noun-en,
,tidigare,earlier,adverb,
att,kalla,call,verb,
en,peng,peng,noun-en,
,väldigt,very,adverb,
att,leva,live,verb,
att,ställa,put,verb,e.g. ställa in/upp/ut
att,följa,follow,verb,
en,vecka,week,noun-en,
,ja,yes,interj,
att,ske,happen,verb,
ett,parti,party,noun-ett,
att,kräva,require,verb,
,utveckling,development,noun-en,
,faktiskt,actually,adverb,
att,ena,one,verb,
att,svara,respond,verb,
,ner,down,particle,
att,fortsätta,continue,verb,
en,skola,school,noun-en,
att,bruka,farming,verb,
ett,mål,goal,noun-ett,
ett,par,couple,noun-ett,
,sent,late,adverb,
,ekonomisk,economic,adjective,
,kl,at,noun-en,e.g. klockan 20.00
,dålig,bad,adjective,
ett,namn,name,noun-ett,
,igen,again,adverb,
,verkligen,really,adverb,
att,mena,mean,verb,
,fortfarande,still,adverb,
en,grupp,group,noun-en,
ett,beslut,decision,noun-ett,
,även,also,subj,
,enda,only,adjective,
,bort,away,particle,
att,slå,beat,verb,e.g. slå ihop/in/ner/upp
,möjlig,possible,adjective,
,många,many,pronoun,
att,hända,happen,verb,
att,ämna,purpose,aux verb,e.g. ämna göra ngt
,endast,only,adverb,
en,miljon,million,noun-en,
,vidare,further,adverb,
,ganska,quite,adverb,
ett,svar,response,noun-ett,
,varenda,every,det,
,istället,"instead,",adverb,
,först,first,adverb,
att,arbeta,work,verb,
,heller,either,adverb,
,riktigt,really,adverb,
en,hand,hand,noun-en,"e.g. på egen hand, ta hand om"
en,uppgift,task,noun-en,
att,fungera,work,verb,
att,beta,beta,verb,
att,köpa,buy,verb,
,nästan,almost,adverb,
,bra,good,adverb,
,bland,among,prep,
,december,december,noun,
att,sitta,sit,verb,
,precis,just,adverb,
,hennes,her,pronoun,
att,åta,undertake,verb,
,bland,among,adverb,
ett,krig,war,noun-ett,
,till,to,adverb,
,tillsammans,together,adverb,
,henne,her,pronoun,
,intressant,interesting,adjective,
ett,val,choice,noun-ett,
en,kyrka,church,noun-en,
,egentligen,actually,adverb,
,inför,infront of,prep,
en,historia,history,noun-en,
ett,jobb,job,noun-ett,
att,berätta,tell,verb,
,vanlig,common,adjective,
att,rätta,correct,verb,
,januari,january,noun,
,information,information,noun-en,
,flest,most,adjective,e.g. de flesta
,ung,young,adjective,
,en,one,pronoun,
,tillbaka,back,particle,
en,film,film,noun-en,
,ibland,sometimes,adverb,
,medan,while,subj,
ett,slut,final,noun-ett,
en,massa,pulp,noun-en,
en,tanke,thought,noun-en,
en,akt,act,noun-en,
en,procent,percent,noun-en,
en,månad,month,noun-en,
,sista,last,adjective,
en,ätt,acetic,noun-en,
att,sluta,stop,verb,
en,verksamhet,operation,noun-en,
en,rätt,right,noun-en,
,samtidigt,at the same time,adverb,
,emot,against,prep,
ett,stöd,support,noun-ett,
en,familj,family,noun-en,
,vem,who,pronoun,
att,åka,go,verb,
att,betala,pay,verb,
en,kommun,municipality,noun-en,
ett,resultat,results,noun-ett,
att,utveckla,develop,verb,
att,föra,bring,verb,
att,hjälpa,help,verb,
,nästa,next,adjective,
,nära,close,adverb,
,nej,no,interj,
en,text,text,noun-en,
ett,exempel,example,noun-ett,
,särskilt,particularly,adverb,
en,debatt,debate,noun-en,
,när,when,prep,
,på,on,adverb,
en,situation,situation,noun-en,
,europeisk,european,adjective,
en,form,form,noun-en,
en,orm,snake,noun-en,
ett,råd,advice,noun-ett,
,november,november,noun,
,makt,power,noun-en,
,social,social,adjective,
att,vinna,win,verb,
,kvar,left,particle,
ett,system,system,noun-ett,
att,vänta,wait,verb,
,tidig,early,adjective,
en,åtgärd,measure,noun-en,
ett,krav,requirement,noun-ett,
en,skillnad,difference,noun-en,e.g. till skillnad från/mot
en,riksdag,parliament,noun-en,e.g. riksdagen
,internationell,international,adjective,
,nationell,national,adjective,
att,jobba,work,verb,
att,klara,done,verb,"e.g. klara av, klara sig"
en,typ,type,noun-en,
,kring,around,prep,
,båda,both,pronoun,
,cirka,about,adverb,
en,tur,lucky,noun-en,
en,polis,police,noun-en,
ett,medium,medium,noun-ett,
,låg,low,adjective,
,varandra,each other,pronoun,
en,mun,mouth,noun-en,
ett,ansvar,responsibility,noun-ett,
en,roll,role,noun-en,
en,regel,rule,noun-en,
,oktober,october,noun,
att,prata,talk,verb,
en,organisation,organisation,noun-en,
en,medlem,member,noun-en,
att,fråga,question,verb,
att,anmäla,report,verb,e.g. anmäla sig
att,nå,reach,verb,
att,bo,stay,verb,
en,krona,crown,noun-en,
att,stämma,meeting,verb,
en,rättighet,right,noun-en,
,sedan,then,prep,
,bakom,behind,prep,
,efter,after,subj,
,därmed,thereby,adverb,
,med,with,adverb,
ett,hus,house,noun-ett,
en,vän,friend,noun-en,
att,dela,share,verb,e.g. dela ut
,februari,february,noun,
,kort,short,adjective,
en,grund,basic,noun-en,
,runt,around,prep,
en,framtid,future,noun-en,
att,köra,drive,verb,
en,etikett,label,noun-en,
,fri,free,adjective,
ett,behov,needs,noun-ett,
en,timme,hour,noun-en,
,september,september,noun,
att,hoppas,hope,verb,
,ensam,alone,adjective,
,snart,soon,adverb,
,rätt,right,adverb,
att,förklara,explain,verb,
en,ledning,management,noun-en,
ett,intresse,interest,noun-ett,
att,tvinga,force,verb,
att,påverka,affect,verb,
en,anledning,reason,noun-en,
att,titta,look,verb,e.g. titta in/på
att,minska,reduce,verb,
,i,in,adverb,
,däremot,however,adverb,
,direkt,immediately,adverb,
en,ekonomi,economy,noun-en,
att,bestämma,determine,verb,e.g. bestämma sig
att,skicka,send,verb,e.g. skicka tillbaka/ut
,trots,despite,prep,e.g. trots ngt
en,åsikt,opinion,noun-en,
en,diskussion,discussion,noun-en,
en,rad,row,noun-en,
ett,faktum,fact,noun-ett,
en,tidning,newspaper,noun-en,
en,mening,sentence,noun-en,
,utanför,outside,prep,
,rätt,right,adjective,
,gemensam,common,adjective,
,klar,clear,adjective,
,juni,june,noun,
,is,ice,noun-en,
en,bil,car,noun-en,
en,myndighet,authority,noun-en,
ett,nummer,number,noun-ett,
,allmän,general,adjective,
,musik,music,noun-en,
att,ändra,change,verb,
att,träffa,meet,verb,
,ihop,together,particle,
att,diskutera,discuss,verb,
att,driva,drive,verb,e.g. driva på
att,sälja,sell,verb,
att,sakna,miss,verb,
ett,program,program,noun-ett,
,ifrån,from,prep,
att,länka,link,verb,
,kunskap,knowledge,noun-en,
,snabbt,quickly,adverb,
,maj,may,noun,
,amerikansk,american,adjective,
att,tyda,decipher,verb,
,särskild,special,adjective,
en,början,beginning,noun-en,
,naturligtvis,of course,adverb,
ett,skäl,reason,noun-ett,
,fin,nice,adjective,
att,genomföra,implement,verb,
,liksom,as well as,adverb,
,via,via,prep,
,före,before,prep,
en,dom,judgment,noun-en,
en,risk,risk,noun-en,
,enkel,simple,adjective,
,alls,at all,adverb,
ett,pris,award,noun-ett,
att,räkna,count,verb,e.g. räkna upp
att,beskriva,describe,verb,
,hem,home,particle,
att,möta,meet,verb,
,såsom,as,subj,
en,id,id,noun-en,
ett,gram,gram,noun-ett,
,förra,last,adjective,
en,tjänst,service,noun-en,
att,heta,hot,verb,
en,kultur,culture,noun-en,
att,äta,eat,verb,
ett,syfte,purpose,noun-ett,
en,princip,principle,noun-en,
att,flytta,move,verb,
,ute,out,adverb,
att,utgöra,represent,verb,
en,politiker,politician,noun-en,
,lätt,easy,adjective,
en,förälder,parent,noun-en,
en,marknad,market,noun-en,
,nämligen,namely,adverb,
,tydlig,clear,adjective,
,utbildning,training,noun-en,
att,röra,move,verb,e.g. röra sig
en,nivå,level,noun-en,
,april,april,noun,
en,mängd,amount,noun-en,
en,betydelse,meaning,noun-en,
,kristen,christian,adjective,
att,dö,die,verb,
,mars,march,noun,
,allt,all,adverb,
en,kväll,evening,noun-en,e.g. god kväll
,bildning,formation,noun-en,
en,länk,link,noun-en,
att,växa,grow,verb,e.g. växa upp
,per,per,prep,
,offentlig,public,adjective,
,såväl,both,conj,
att,våga,dare,verb,
,vatten,water,noun-ett,
,håll,hold,noun-ett,
,mänsklig,human,adjective,
en,demokrati,democracy,noun-en,
att,fatta,take,verb,
,jord,soil,noun-en,
en,känsla,feeling,noun-en,
en,förändring,change,noun-en,
att,nämna,mention,verb,
,tyvärr,unfortunately,adverb,
,enskild,individual,adjective,
,rätt,right,particle,
att,be,ask,verb,
en,punkt,point,noun-en,
en,ändring,change,noun-en,
en,mission,mission,noun-en,
,igår,yesterday,adverb,
en,kommission,commission,noun-en,
en,ort,city,noun-en,
att,anta,adopt,verb,
,trots,despite,subj,
ett,spel,game,noun-ett,
ett,språk,language,noun-ett,
att,föreslå,propose,verb,
,igenom,through,prep,
att,undra,wonder,verb,
,eget,own,adjective,
ett,möte,meeting,noun-ett,
,mat,food,noun-en,
en,gräns,limit,noun-en,
att,lyssna,listen,verb,
att,delta,participate,verb,e.g. delta i
ett,samarbete,cooperation,noun-ett,
,annars,otherwise,adverb,
att,falla,fall,verb,e.g. falla ner/på/ut
,nära,close,adjective,
ett,rum,room,noun-ett,
,ungefär,approximately,adverb,
att,starta,start,verb,
att,inse,realize,verb,
,internet,internet,noun,e.g. Internet
ett,hov,court,noun-ett,
,öppen,open,adjective,
att,bidra,contribute,verb,
en,död,death,noun-en,
att,luta,lean,verb,e.g. luta sig
ett,öga,eye,noun-ett,
,säkert,surely,adverb,
ett,ämne,subject,noun-ett,
,få,get,adjective,
,augusti,august,noun,
en,socialdemokrat,social democrat,noun-en,
ett,projekt,project,noun-ett,
,övrig,other,adjective,
,dels,partly,conj,e.g. dels…dels
,framför,in front,adverb,
,positiv,positive,adjective,
,rolig,funny,adjective,
en,port,port,noun-en,
att,bero,depend,verb,e.g. bero på
en,kropp,body,noun-en,
att,minnas,remember,verb,
,handling,action,noun-en,
att,rösta,vote,verb,
,riktig,true,adjective,
en,rapport,report,noun-en,
en,lösning,solution,noun-en,
,personlig,personal,adjective,
att,kommentera,comment,verb,
,som,as,subj,
att,gilla,like,verb,
att,bryta,break,verb,"e.g. bryta mot, bryta sönder, bryta ut"
,hjälp,help,noun-en,
,juli,july,noun,
att,innehålla,contain,verb,
,liknande,similar,adjective,
ett,tillfälle,opportunity,noun-ett,
,inte,not,adverb,
,känd,known,adjective,
,forskning,research,noun-en,
en,kraft,force,noun-en,
,helt,completely,adverb,
ett,brott,crime,noun-ett,
,exempelvis,e.g.,adverb,
en,röst,voice,noun-en,
att,bjuda,invite,verb,e.g. bjuda på
,till,to,adverb,
att,hävda,claim,verb,
att,hamna,end,verb,e.g. hamna i/på
en,effekt,effect,noun-en,
en,enhet,unit,noun-en,
,det,the,adverb,
en,kontakt,contact,noun-en,
en,takt,rate,noun-en,
ett,värde,value,noun-ett,
en,förutsättning,provided,noun-en,
en,sats,clause,noun-en,
en,medlemsstat,member,noun-en,
att,hinna,film,verb,e.g. hinna upp
en,sanning,truth,noun-en,
en,religion,religion,noun-en,
en,källa,source,noun-en,
att,må,feel,verb,
en,kostnad,cost,noun-en,
en,medborgare,national,noun-en,
ett,förhållande,relationship,noun-ett,
en,far,father,noun-en,
en,miljard,billion,noun-en,
,ungdom,youth,noun-en,
att,släppa,drop,verb,e.g. släppa in/ut
,enbart,solely,adverb,
ett,drag,features,noun-ett,
en,verklighet,reality,noun-en,
en,författare,author,noun-en,
en,tillgång,access,noun-en,
,nödvändig,necessary,adjective,
,full,full,adjective,
,frihet,freedom,noun-en,
att,passa,fit,verb,
,lokal,local,adjective,
,ytterligare,further,adverb,
att,öppna,open,verb,
att,införa,introduce,verb,
en,ledare,leader,noun-en,
en,mamma,mother,noun-en,
ett,sammanhang,context,noun-ett,
en,svensk,swedish,noun-en,
,hemma,home,adverb,
en,produkt,product,noun-en,
,därefter,then,adverb,
,efter,after,adverb,
en,match,match,noun-en,
en,tro,believe,noun-en,
,alldeles,right,adverb,
,lätt,easy,adverb,
,sann,true,adjective,
en,uppfattning,perception,noun-en,
en,demokrat,democrat,noun-en,
ett,bolag,company,noun-ett,
en,erfarenhet,experience,noun-en,
,kritik,criticism,noun-en,
en,grad,degree,noun-en,
en,jude,jew,noun-en,
,vacker,beautiful,adjective,
att,erbjuda,offer,verb,
en,kamp,struggle,noun-en,
en,period,period,noun-en,
,modern,modern,adjective,
en,spelare,player,noun-en,
en,elev,pupil,noun-en,
en,utredning,investigation,noun-en,
att,ingå,part,verb,
en,kung,king,noun-en,
att,bestå,consist,verb,e.g. bestå av
en,katt,cat,noun-en,
att,konstatera,note,verb,
,dit,there,adverb,
,klart,clear,adverb,
,nuvarande,current,adjective,
att,styra,steer,verb,
att,förlora,lose,verb,
,vit,white,adjective,
en,klocka,clock,noun-en,
att,påstå,state,verb,
en,skatt,tax,noun-en,
att,besluta,decide,verb,
en,befolkning,population,noun-en,
att,avse,considerable,verb,
,ro,ro,noun-en,
,privat,private,adjective,
ett,steg,step,noun-ett,
en,art,species,noun-en,
att,stödja,support,verb,
,ond,evil,adjective,
en,plan,plan,noun-en,
en,resa,trip,noun-en,
,utom,except,prep,
en,hund,dog,noun-en,
,syn,sight,noun-en,
att,glömma,forget,verb,
ett,avtal,agreement,noun-ett,
en,lek,play,noun-en,
,kul,fun,adjective,
en,natt,night,noun-en,e.g. god natt
att,förändra,change,verb,e.g. förändra sig
att,ange,enter,verb,
,någonting,anything,pronoun,
,förstås,course,adverb,
en,individ,individual,noun-en,
att,älska,love,verb,
,motion,exercise,noun-en,
,glad,happy,adjective,
,ned,down,particle,
en,dator,computer,noun-en,
en,miljö,environment,noun-en,
en,ek,oak,noun-en,
,åtminstone,at least,adverb,
att,presentera,present,verb,e.g. presentera sig
att,stanna,stay,verb,
att,byta,change,verb,e.g. bryta ut
ett,alternativ,option,noun-ett,
en,minut,minute,noun-en,
,ingenting,nothing,pronoun,
att,uppleva,experience,verb,
att,samla,collect,verb,
,svart,black,adjective,
en,bakgrund,background,noun-en,
ett,skott,shot,noun-ett,
en,ö,island,noun-en,
,kärlek,love,noun-en,
en,metod,method,noun-en,
,äldre,older,adjective,
,säker,sure,adjective,
en,borgare,freeman,noun-en,
en,gud,god,noun-en,e.g. Gud
en,insats,insert,noun-en,
,tysk,german,adjective,
en,kontroll,control,noun-en,
att,lösa,solve,verb,
att,kolla,check,verb,(vardagligt)
att,fylla,fill,verb,e.g. fylla i/på
en,bestämmelse,provision,noun-en,
,ris,rice,noun-ett,
att,drabba,affect,verb,
ett,nät,web,noun-ett,
en,teknik,technique,noun-en,
en,resurs,resource,noun-en,
ett,försök,attempt,noun-ett,
att,fara,danger,verb,
att,tjäna,serve,verb,
ett,argument,argument,noun-ett,
att,behandla,treat,verb,
,ren,clean,adjective,
en,fru,wife,noun-en,
,sjuk,ill,adjective,
,istället,"instead,",prep,
,våld,violence,noun-ett,
att,utföra,perform,verb,
en,ställning,position,noun-en,
,främst,mainly,adverb,
att,räcka,hand,verb,e.g. räcka till
,bättre,better,adverb,
att,fundera,think,verb,
,visst,certainly,adverb,
en,sommar,summer,noun-en,e.g. i somras
en,rörelse,movement,noun-en,
en,kund,customer,noun-en,
ett,villkor,terms,noun-ett,
,tillbaka,back,adverb,
,högt,high,adverb,
en,president,president,noun-en,
,emellertid,however,adverb,
en,händelse,event,noun-en,
att,uppstå,arise,verb,
att,acceptera,accept,verb,
ett,huvud,head,noun-ett,
ett,sök,search,noun-ett,
,snabb,fast,adjective,
,så,so,adverb,
,framför,in front,prep,
en,ande,spirit,noun-en,
att,bilda,form,verb,
en,orsak,cause,noun-en,
att,försvinna,disappear,verb,
ett,fel,wrong,noun-ett,
ett,innehåll,content,noun-ett,
,natur,nature,noun-en,
ett,begrepp,concept,noun-ett,
,för,for,subj,
en,konflikt,conflict,noun-en,
,tack,thanks,interj,
ett,djur,animal,noun-ett,
en,chans,chance,noun-en,
,samtidigt,at the same time,subj,
,demokratisk,democratic,adjective,
,fel,wrong,adverb,
ett,läge,location,noun-ett,
att,sprida,spread,verb,"e.g. sprida sig, sprida ut"
en,växt,plant,noun-en,
,förutom,except,prep,
,i,in,prep,
,styck,piece,noun,e.g. per styck
ett,utskott,committee,noun-ett,
en,muslim,muslim,noun-en,
en,ordning,order,noun-en,
ett,uppdrag,mission,noun-ett,
en,mark,ground,noun-en,
,säkerhet,security,noun-en,
en,linje,line,noun-en,
en,bank,bank,noun-en,
att,önska,wish,verb,
,givetvis,of course,adverb,
en,studie,study,noun-en,
,fredag,friday,noun-en,
en,lärare,teacher,noun-en,
,statlig,state,adjective,
en,söndag,sunday,noun-en,
,fel,wrong,adjective,
,speciellt,especially,adverb,
,röd,red,adjective,
en,television,television,noun-en,
ett,hot,threat,noun-ett,
ett,verk,work,noun-ett,
att,publicera,publish,verb,
en,stund,while,noun-en,
att,tillhöra,belong,verb,
att,omfatta,include,verb,
ett,material,material,noun-ett,
en,pelare,pillar,noun-en,
ett,hjärta,heart,noun-ett,
,knappast,hardly,adverb,
att,befinna,be,verb,e.g. befinna sig; befinnas
en,part,party,noun-en,
,trevlig,nice,adjective,
en,höst,fall,noun-en,e.g. i höstas
att,skilja,distinguish,verb,e.g. skilja sig (från)
,ens,even,adverb,"e.g. inte ens ngt/ngn, med ens"
en,förmåga,ability,noun-en,
att,döda,kill,verb,
ett,stånd,stand,noun-ett,
att,peka,point,verb,e.g. peka ut
en,bedömning,assessment,noun-en,
att,ringa,call,verb,
att,betrakta,regard,verb,
en,by,village,noun-en,
,utifrån,from,prep,
en,brist,lack,noun-en,
att,hänga,hang,verb,e.g. hänga upp
,tillräckligt,enough,adverb,
en,måndag,monday,noun-en,
,aktuell,current,adjective,
,någonsin,ever,adverb,
att,tillåta,allow,verb,
ett,universitet,university,noun-ett,
en,konsekvens,consequence,noun-en,
ett,ställe,place,noun-ett,
,hård,hard,adjective,
en,majoritet,majority,noun-en,
en,domstol,court,noun-en,
en,ordförande,president,noun-en,
en,lördag,saturday,noun-en,
en,låt,let ',noun-en,
,herr,mr.,noun,"e.g. vid omtal, e.g. Herr talman"
en,sekvens,sequence,noun-en,
att,förekomma,occur,verb,
att,stoppa,stop,verb,e.g. stoppa in
en,nyhet,novelty,noun-en,
en,journalist,journalist,noun-en,
en,kris,crisis,noun-en,
att,rycka,snatch,verb,
att,trycka,press,verb,
,betydligt,considerably,adverb,
att,kosta,cost,verb,
ett,band,band,noun-ett,
,numera,nowadays,adverb,
ett,tillstånd,state,noun-ett,
,värd,host,adjective,
,igen,again,particle,
,imorgon,tomorrow,adverb,
en,klass,class,noun-en,
att,uttrycka,express,verb,e.g. uttrycka sig
en,slutsats,conclusion,noun-en,
,global,global,adjective,
,mitt,my,adverb,
en,stol,chair,noun-en,
,ytterligare,further,adjective,
,effektiv,effective,adjective,
att,resa,trip,verb,
att,förbättra,improve,verb,
att,rädda,save,verb,
en,list,strip,noun-en,
en,relation,relationship,noun-en,
att,agera,act,verb,
,central,central,adjective,
,flera,several,pronoun,
en,undersökning,investigation,noun-en,
att,uppnå,achieve,verb,
en,krona,crown,noun-en,
ett,perspektiv,perspective,noun-ett,
,plötsligt,suddenly,adverb,
,naturlig,natural,adjective,
en,ålder,age,noun-en,
en,process,process,noun-en,
ett,uttryck,expression,noun-ett,
en,lista,list,noun-en,
,allra,very,adverb,
en,sökning,search,noun-en,
en,ökning,increase,noun-en,
,därför,because,subj,
,rysk,russian,adjective,
att,jämföra,compare,verb,
,tills,until,subj,
,intresserad,interested,adjective,
,totalt,total,adverb,
att,hantera,manage,verb,
att,förvänta,expect,verb,e.g. förvänta sig
ett,medel,average,noun-ett,
att,vika,fold,verb,
att,döma,judge,verb,
att,besöka,visit,verb,
ett,hem,home,noun-ett,
,var,where,adverb,
att,täcka,cover,verb,
,borgerlig,bourgeois,adjective,
att,inleda,initiate,verb,
en,helg,weekend,noun-en,
att,undvika,avoid,verb,
ett,ryck,pressure,noun-ett,
ett,tryck,print,noun-ett,
,tydligen,apparently,adverb,
,aktiv,active,adjective,
att,höja,raise,verb,
en,pappa,dad,noun-en,
,varken,neither,conj,
,religiös,religious,adjective,
att,råka,rook,verb,
,verklig,real,adjective,
,rent,purely,adverb,
,fantastisk,fantastic,adjective,
,grundläggande,basic,adjective,
att,upptäcka,discover,verb,
att,erkänna,admit,verb,
,helig,holy,adjective,
en,lön,salary,noun-en,
,historisk,historical,adjective,
en,rest,residual,noun-en,
,halv,half,adjective,
en,andel,share,noun-en,
ett,besök,visit,noun-ett,
,teknisk,technical,adjective,
att,kasta,throw,verb,"e.g. kasta sig, kasta bort"
en,hemsida,website,noun-en,
att,bedöma,assess,verb,
en,torsdag,thursday,noun-en,
en,tillväxt,growth,noun-en,
en,läsare,reader,noun-en,
en,forskare,researcher,noun-en,
ett,bidrag,contribution,noun-ett,
en,onsdag,wednesday,noun-en,
en,vilja,will,noun-en,
en,sol,solar,noun-en,
,inte,not,adverb,
en,analys,analysis,noun-en,
